B (T)	X1(V)	Y1 (V)	X2(V)	Y2(V)	X3 (V)	Y3 (V)	X4 (V)	Y4 (V)	SensA (V)	SensB (V)
0.00000E+0	-7.08869E-3	1.41049E-3	2.10764E-3	-7.86787E-6	-9.57989E-7	3.02681E-9	0.00000E+0	0.00000E+0	1.99800E+0	0.00000E+0
0.00000E+0	-6.94183E-3	1.37997E-3	4.34354E-3	-3.05178E-5	-9.58804E-7	2.91040E-9	0.00000E+0	0.00000E+0	1.99490E+0	0.00000E+0
0.00000E+0	-6.79973E-3	1.35232E-3	4.30587E-3	-2.93256E-5	-9.59561E-7	2.79398E-9	0.00000E+0	0.00000E+0	1.99790E+0	0.00000E+0
7.69630E+0	-6.68052E-3	1.32848E-3	4.23220E-3	-2.78951E-5	-9.60317E-7	2.61936E-9	0.00000E+0	0.00000E+0	2.00000E+0	0.00000E+0
7.67920E+0	-6.58515E-3	1.30845E-3	4.13302E-3	-2.62262E-5	-9.61074E-7	2.44474E-9	0.00000E+0	0.00000E+0	1.99800E+0	0.00000E+0
7.66200E+0	-6.50313E-3	1.29224E-3	4.01190E-3	-2.40804E-5	-9.61772E-7	2.27011E-9	0.00000E+0	0.00000E+0	2.00000E+0	0.00000E+0
7.64490E+0	-6.43829E-3	1.27984E-3	3.86621E-3	-2.21730E-5	-9.62413E-7	2.09549E-9	0.00000E+0	0.00000E+0	1.99760E+0	0.00000E+0
7.62770E+0	-6.38869E-3	1.26839E-3	3.70838E-3	-2.00273E-5	-9.63053E-7	1.92087E-9	0.00000E+0	0.00000E+0	1.99580E+0	0.00000E+0
7.61060E+0	-6.35055E-3	1.26076E-3	3.54244E-3	-1.81199E-5	-9.63693E-7	1.74624E-9	0.00000E+0	0.00000E+0	1.99620E+0	0.00000E+0
7.59340E+0	-6.31908E-3	1.25409E-3	3.36815E-3	-1.62126E-5	-9.64275E-7	1.57161E-9	0.00000E+0	0.00000E+0	2.00200E+0	0.00000E+0
7.57630E+0	-6.29523E-3	1.24932E-3	3.18624E-3	-1.43052E-5	-9.64857E-7	1.39699E-9	0.00000E+0	0.00000E+0	1.99950E+0	0.00000E+0
7.55910E+0	-6.27711E-3	1.24551E-3	3.00218E-3	-1.26362E-5	-9.65381E-7	1.22237E-9	0.00000E+0	0.00000E+0	1.99900E+0	0.00000E+0
7.54200E+0	-6.26376E-3	1.24169E-3	2.82027E-3	-1.12057E-5	-9.65905E-7	1.04775E-9	0.00000E+0	0.00000E+0	2.00170E+0	0.00000E+0
7.52480E+0	-6.25423E-3	1.23978E-3	2.64098E-3	-9.53680E-6	-9.66429E-7	8.73118E-10	0.00000E+0	0.00000E+0	2.00130E+0	0.00000E+0
