B (T)	X1(V)	Y1 (V)	X2(V)	Y2(V)	X3 (V)	Y3 (V)	X4 (V)	Y4 (V)	SensA (V)	SensB (V)
0.00000E+0	4.16759E-3	-8.10627E-4	3.57629E-6	9.27452E-4	-9.71842E-7	-6.98495E-10	0.00000E+0	0.00000E+0	2.00020E+0	0.00000E+0
0.00000E+0	4.16568E-3	-8.10627E-4	6.43733E-6	7.40532E-4	-9.71842E-7	-7.56703E-10	0.00000E+0	0.00000E+0	1.99860E+0	0.00000E+0
-2.20930E+0	4.16282E-3	-8.10627E-4	5.84128E-6	5.76857E-4	-9.71726E-7	-8.14911E-10	0.00000E+0	0.00000E+0	2.00120E+0	0.00000E+0
-2.19210E+0	4.15900E-3	-8.10627E-4	5.00682E-6	4.84588E-4	-9.71435E-7	-8.14911E-10	0.00000E+0	0.00000E+0	1.99900E+0	0.00000E+0
-2.17500E+0	4.15424E-3	-8.10627E-4	4.17235E-6	4.34281E-4	-9.71144E-7	-8.14911E-10	0.00000E+0	0.00000E+0	1.99660E+0	0.00000E+0
-2.15780E+0	4.14756E-3	-8.09673E-4	3.57629E-6	3.70743E-4	-9.70562E-7	-7.56703E-10	0.00000E+0	0.00000E+0	2.00240E+0	0.00000E+0
-2.14070E+0	4.13516E-3	-8.08720E-4	2.74183E-6	3.43921E-4	-9.70154E-7	-6.40288E-10	0.00000E+0	0.00000E+0	2.00150E+0	0.00000E+0
-2.12350E+0	4.12562E-3	-8.06812E-4	2.26499E-6	3.48331E-4	-9.69572E-7	-5.82080E-10	0.00000E+0	0.00000E+0	1.99820E+0	0.00000E+0
-2.10640E+0	4.10751E-3	-8.04905E-4	1.78815E-6	3.71577E-4	-9.69048E-7	-5.23873E-10	0.00000E+0	0.00000E+0	1.99850E+0	0.00000E+0
-2.08920E+0	4.08843E-3	-8.02044E-4	1.78815E-6	4.18784E-4	-9.68583E-7	-4.07455E-10	0.00000E+0	0.00000E+0	2.00050E+0	0.00000E+0
