#U_gate	b	b_err	U_xx	n_s	n_s_err	mu	mu_err
200	7.41865E-04	4.68246E-07	1.42813E-04	8.23972E+15	2.86228E+06	31.1679	1.08270E-08
150	7.86923E-04	8.32235E-07	2.24114E-04	7.76793E+15	5.08726E+06	21.0676	1.37973E-08
100	8.52505E-04	8.30089E-07	2.76567E-04	7.17036E+15	5.07414E+06	18.4947	1.30879E-08
50	9.34121E-04	4.60185E-07	3.41417E-04	6.54387E+15	2.81300E+06	16.4161	7.05675E-09
0	8.52914E-04	1.96353E-07	2.74183E-04	7.16692E+15	1.20026E+06	18.6645	3.12578E-09
-50	1.12890E-03	1.96974E-06	3.41417E-04	5.41482E+15	1.20406E+07	19.8390	4.41147E-08
-100	1.26965E-03	8.38966E-07	7.30876E-04	4.81451E+15	5.12840E+06	10.4230	1.11025E-08
-150	1.51940E-03	1.47524E-06	1.16087E-03	4.02315E+15	9.01778E+06	7.8531	1.76024E-08
-200	1.87273E-03	5.87574E-07	2.16796E-03	3.26410E+15	3.59170E+06	5.1829	5.70311E-09

