B (T)	X1(V)	Y1 (V)	X2(V)	Y2(V)	X3 (V)	Y3 (V)	X4 (V)	Y4 (V)	SensA (V)	SensB (V)
-1.99910E+0	-3.84079E-3	0.00000E+0	-1.81429E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98880E+0	0.00000E+0
-1.99620E+0	-3.83063E-3	0.00000E+0	-1.88881E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98250E+0	0.00000E+0
-1.99320E+0	-3.82062E-3	0.00000E+0	-1.92055E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98520E+0	0.00000E+0
-1.99010E+0	-3.81412E-3	0.00000E+0	-1.95278E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99270E+0	0.00000E+0
-1.98710E+0	-3.80412E-3	0.00000E+0	-1.95589E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99130E+0	0.00000E+0
-1.98420E+0	-3.79982E-3	0.00000E+0	-1.98661E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99760E+0	0.00000E+0
-1.98120E+0	-3.79357E-3	0.00000E+0	-2.00175E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99810E+0	0.00000E+0
-1.97810E+0	-3.78557E-3	0.00000E+0	-2.07990E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99080E+0	0.00000E+0
-1.97510E+0	-3.75898E-3	0.00000E+0	-2.14795E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99160E+0	0.00000E+0
-1.97220E+0	-3.73493E-3	0.00000E+0	-2.23990E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00270E+0	0.00000E+0
-1.96920E+0	-3.73788E-3	0.00000E+0	-2.24237E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00570E+0	0.00000E+0
-1.96610E+0	-3.72575E-3	0.00000E+0	-2.30997E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99800E+0	0.00000E+0
-1.96310E+0	-3.71891E-3	0.00000E+0	-2.33798E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00140E+0	0.00000E+0
-1.96020E+0	-3.71241E-3	0.00000E+0	-2.37579E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00830E+0	0.00000E+0
-1.95720E+0	-3.69931E-3	0.00000E+0	-2.43617E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.01070E+0	0.00000E+0
-1.95410E+0	-3.68986E-3	0.00000E+0	-2.44317E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.01190E+0	0.00000E+0
-1.95110E+0	-3.69301E-3	0.00000E+0	-2.48503E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99750E+0	0.00000E+0
-1.94820E+0	-3.66527E-3	0.00000E+0	-2.55254E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99370E+0	0.00000E+0
-1.94520E+0	-3.66703E-3	0.00000E+0	-2.59679E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98920E+0	0.00000E+0
