B (T)	X1(V)	Y1 (V)	X2(V)	Y2(V)	X3 (V)	Y3 (V)	X4 (V)	Y4 (V)	SensA (V)	SensB (V)
7.69630E+0	1.28993E-2	0.00000E+0	-4.31725E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00060E+0	0.00000E+0
7.68350E+0	1.28996E-2	0.00000E+0	-3.99516E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99710E+0	0.00000E+0
7.67070E+0	1.28998E-2	0.00000E+0	-3.95979E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99690E+0	0.00000E+0
7.65770E+0	1.29001E-2	0.00000E+0	-3.63228E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99750E+0	0.00000E+0
7.64490E+0	1.29003E-2	0.00000E+0	-3.57959E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99660E+0	0.00000E+0
7.63210E+0	1.29006E-2	0.00000E+0	-3.53113E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00080E+0	0.00000E+0
7.61930E+0	1.29006E-2	0.00000E+0	-3.54255E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00020E+0	0.00000E+0
7.60620E+0	1.29007E-2	0.00000E+0	-3.48829E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99770E+0	0.00000E+0
7.59340E+0	1.29008E-2	0.00000E+0	-3.03630E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99950E+0	0.00000E+0
7.58060E+0	1.29010E-2	0.00000E+0	-3.12136E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00330E+0	0.00000E+0
7.56780E+0	1.29011E-2	0.00000E+0	-2.92356E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00180E+0	0.00000E+0
7.55500E+0	1.29012E-2	0.00000E+0	-2.93879E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99520E+0	0.00000E+0
7.54200E+0	1.29014E-2	0.00000E+0	-2.82850E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98440E+0	0.00000E+0
7.52920E+0	1.29014E-2	0.00000E+0	-2.76807E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99290E+0	0.00000E+0
7.51630E+0	1.29015E-2	0.00000E+0	-2.69524E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99240E+0	0.00000E+0
7.50350E+0	1.29016E-2	0.00000E+0	-2.53946E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99390E+0	0.00000E+0
7.49050E+0	1.29018E-2	0.00000E+0	-2.33156E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98640E+0	0.00000E+0
7.47770E+0	1.29019E-2	0.00000E+0	-2.24105E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98800E+0	0.00000E+0
7.46490E+0	1.29021E-2	0.00000E+0	-1.97512E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99530E+0	0.00000E+0
7.45210E+0	1.29022E-2	0.00000E+0	-2.00080E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98900E+0	0.00000E+0
7.43900E+0	1.29022E-2	0.00000E+0	-1.69972E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99100E+0	0.00000E+0
7.42620E+0	1.29023E-2	0.00000E+0	-1.71998E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98940E+0	0.00000E+0
7.41340E+0	1.29024E-2	0.00000E+0	-1.54501E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99340E+0	0.00000E+0
