B (T)	X1(V)	Y1 (V)	X2(V)	Y2(V)	X3 (V)	Y3 (V)	X4 (V)	Y4 (V)	SensA (V)	SensB (V)
-7.69660E+0	-1.28820E-2	0.00000E+0	-3.07152E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99980E+0	0.00000E+0
-7.68350E+0	-1.28822E-2	0.00000E+0	-2.98115E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99210E+0	0.00000E+0
-7.67070E+0	-1.28823E-2	0.00000E+0	-2.66472E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99840E+0	0.00000E+0
-7.65790E+0	-1.28824E-2	0.00000E+0	-2.60869E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00150E+0	0.00000E+0
-7.64510E+0	-1.28825E-2	0.00000E+0	-2.48216E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00100E+0	0.00000E+0
-7.63210E+0	-1.28824E-2	0.00000E+0	-2.31396E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99910E+0	0.00000E+0
-7.61930E+0	-1.28821E-2	0.00000E+0	-2.18821E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99410E+0	0.00000E+0
-7.60650E+0	-1.28819E-2	0.00000E+0	-2.08056E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99780E+0	0.00000E+0
-7.59360E+0	-1.28818E-2	0.00000E+0	-2.02105E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98910E+0	0.00000E+0
-7.58060E+0	-1.28817E-2	0.00000E+0	-1.87687E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98820E+0	0.00000E+0
-7.56780E+0	-1.28816E-2	0.00000E+0	-1.84704E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99300E+0	0.00000E+0
-7.55500E+0	-1.28816E-2	0.00000E+0	-1.69597E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99370E+0	0.00000E+0
-7.54220E+0	-1.28816E-2	0.00000E+0	-1.69120E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99490E+0	0.00000E+0
-7.52920E+0	-1.28814E-2	0.00000E+0	-1.52733E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99160E+0	0.00000E+0
-7.51630E+0	-1.28812E-2	0.00000E+0	-1.37699E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99190E+0	0.00000E+0
-7.50350E+0	-1.28811E-2	0.00000E+0	-1.29176E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99200E+0	0.00000E+0
-7.49070E+0	-1.28808E-2	0.00000E+0	-1.23664E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99310E+0	0.00000E+0
-7.47770E+0	-1.28806E-2	0.00000E+0	-1.13581E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99720E+0	0.00000E+0
-7.46490E+0	-1.28806E-2	0.00000E+0	-1.02605E-4	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99240E+0	0.00000E+0
-7.45210E+0	-1.28806E-2	0.00000E+0	-9.35589E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99210E+0	0.00000E+0
-7.43930E+0	-1.28807E-2	0.00000E+0	-9.17833E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99270E+0	0.00000E+0
-7.42620E+0	-1.28806E-2	0.00000E+0	-8.96212E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99230E+0	0.00000E+0
-7.41340E+0	-1.28805E-2	0.00000E+0	-7.79915E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98710E+0	0.00000E+0
-7.40060E+0	-1.28803E-2	0.00000E+0	-7.60421E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98500E+0	0.00000E+0
-7.38780E+0	-1.28802E-2	0.00000E+0	-6.75491E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98900E+0	0.00000E+0
-7.37480E+0	-1.28801E-2	0.00000E+0	-6.07702E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99720E+0	0.00000E+0
-7.36200E+0	-1.28802E-2	0.00000E+0	-5.60321E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00410E+0	0.00000E+0
-7.34920E+0	-1.28801E-2	0.00000E+0	-5.07572E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	2.00430E+0	0.00000E+0
-7.33630E+0	-1.28802E-2	0.00000E+0	-4.16797E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99850E+0	0.00000E+0
-7.32330E+0	-1.28802E-2	0.00000E+0	-3.95769E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99210E+0	0.00000E+0
-7.31050E+0	-1.28804E-2	0.00000E+0	-3.96428E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99440E+0	0.00000E+0
-7.29770E+0	-1.28804E-2	0.00000E+0	-3.39181E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99530E+0	0.00000E+0
-7.28490E+0	-1.28806E-2	0.00000E+0	-3.04755E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99050E+0	0.00000E+0
-7.27180E+0	-1.28807E-2	0.00000E+0	-2.55730E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98640E+0	0.00000E+0
-7.25900E+0	-1.28809E-2	0.00000E+0	-2.14333E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99240E+0	0.00000E+0
-7.24620E+0	-1.28810E-2	0.00000E+0	-1.97696E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99220E+0	0.00000E+0
-7.23340E+0	-1.28812E-2	0.00000E+0	-1.45551E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99200E+0	0.00000E+0
-7.22060E+0	-1.28814E-2	0.00000E+0	-1.45660E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98510E+0	0.00000E+0
-7.20760E+0	-1.28817E-2	0.00000E+0	-1.22114E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98650E+0	0.00000E+0
-7.19480E+0	-1.28822E-2	0.00000E+0	-1.07457E-5	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98330E+0	0.00000E+0
-7.18200E+0	-1.28823E-2	0.00000E+0	-7.32538E-6	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98660E+0	0.00000E+0
-7.16920E+0	-1.28825E-2	0.00000E+0	-7.28023E-6	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98680E+0	0.00000E+0
-7.15610E+0	-1.28826E-2	0.00000E+0	-6.19559E-6	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99140E+0	0.00000E+0
-7.14330E+0	-1.28826E-2	0.00000E+0	-4.61504E-6	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98190E+0	0.00000E+0
-7.13050E+0	-1.28828E-2	0.00000E+0	-3.42940E-6	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98160E+0	0.00000E+0
-7.11770E+0	-1.28831E-2	0.00000E+0	-3.33586E-6	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98890E+0	0.00000E+0
-7.10470E+0	-1.28833E-2	0.00000E+0	-3.21151E-6	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99540E+0	0.00000E+0
-7.09190E+0	-1.28837E-2	0.00000E+0	-3.07604E-6	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.98990E+0	0.00000E+0
-7.07900E+0	-1.28841E-2	0.00000E+0	-2.92738E-6	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99280E+0	0.00000E+0
-7.06620E+0	-1.28843E-2	0.00000E+0	-2.75343E-6	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	1.99310E+0	0.00000E+0
