C1	C4	C2	C3
-6.7	-0.1492537313433	-1	-2
-3.4	-0.2941176470588	-2	-4
-2.23	-0.4484304932735	-3	-6
-1.65	-0.6060606060606	-4	-8
-1.32	-0.7575757575758	-5	-10
-1.09	-0.9174311926606	-6	-12
-0.94	-1.063829787234	-7	-14
-0.82	-1.219512195122	-8	-16
-0.73	-1.369863013699	-9	-18
-0.66	-1.515151515152	-10	-20
0.66	1.515151515152	10	20
0.73	1.369863013699	9	18
0.82	1.219512195122	8	16
0.93	1.075268817204	7	14
1.08	0.9259259259259	6	12
1.32	0.7575757575758	5	10
1.63	0.6134969325153	4	8
2.22	0.4504504504505	3	6
3.36	0.297619047619	2	4
6.7	0.1492537313433	1	2
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
