B (T)	X1(V)	Y1 (V)	X2(V)	Y2(V)	X3 (V)	Y3 (V)	X4 (V)	Y4 (V)	SensA (V)	SensB (V)
0.00000E+0	-6.33290E-3	1.25266E-3	-2.38420E-6	1.22214E-3	-9.65905E-7	2.91040E-10	0.00000E+0	0.00000E+0	1.99990E+1	1.81328E+1
0.00000E+0	-6.32718E-3	1.25123E-3	-6.07970E-6	1.18995E-3	-9.66022E-7	2.91040E-10	0.00000E+0	0.00000E+0	1.99981E+1	1.81352E+1
7.69610E+0	-6.31908E-3	1.24884E-3	-5.84128E-6	1.15217E-3	-9.66196E-7	2.32832E-10	0.00000E+0	0.00000E+0	1.99985E+1	1.81376E+1
7.67920E+0	-6.31145E-3	1.24741E-3	-5.60287E-6	1.11557E-3	-9.66313E-7	1.74624E-10	0.00000E+0	0.00000E+0	1.99997E+1	1.81397E+1
7.66200E+0	-6.30429E-3	1.24598E-3	-5.36445E-6	1.08135E-3	-9.66429E-7	1.16416E-10	0.00000E+0	0.00000E+0	2.00004E+1	1.81419E+1
7.64490E+0	-6.29762E-3	1.24455E-3	-5.12603E-6	1.04738E-3	-9.66545E-7	1.16416E-10	0.00000E+0	0.00000E+0	2.00002E+1	1.81440E+1
7.62770E+0	-6.29142E-3	1.24265E-3	-5.00682E-6	1.01507E-3	-9.66604E-7	5.82081E-11	0.00000E+0	0.00000E+0	2.00010E+1	1.81460E+1
7.61060E+0	-6.28474E-3	1.24121E-3	-4.76840E-6	9.82530E-4	-9.66720E-7	5.82081E-11	0.00000E+0	0.00000E+0	2.00002E+1	1.81484E+1
7.59340E+0	-6.27854E-3	1.23978E-3	-4.64919E-6	9.51651E-4	-9.66837E-7	0.00000E+0	0.00000E+0	0.00000E+0	1.99994E+1	1.81504E+1
7.57630E+0	-6.27235E-3	1.23835E-3	-4.29156E-6	9.21253E-4	-9.66895E-7	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.81526E+1
7.55910E+0	-6.26662E-3	1.23692E-3	-4.17235E-6	8.92404E-4	-9.67011E-7	-5.82081E-11	0.00000E+0	0.00000E+0	1.99998E+1	1.81548E+1
7.54200E+0	-6.26042E-3	1.23549E-3	-3.93394E-6	8.64509E-4	-9.67069E-7	-1.16416E-10	0.00000E+0	0.00000E+0	1.99992E+1	1.81571E+1
7.52480E+0	-6.25470E-3	1.23454E-3	-3.81473E-6	8.38403E-4	-9.67128E-7	-1.16416E-10	0.00000E+0	0.00000E+0	1.99993E+1	1.81594E+1
7.50770E+0	-6.24898E-3	1.23311E-3	-3.69550E-6	8.13249E-4	-9.67244E-7	-1.16416E-10	0.00000E+0	0.00000E+0	1.99991E+1	1.81617E+1
7.49050E+0	-6.24278E-3	1.23168E-3	-3.57629E-6	7.90242E-4	-9.67244E-7	-1.74624E-10	0.00000E+0	0.00000E+0	1.99992E+1	1.81640E+1
7.47330E+0	-6.23706E-3	1.23025E-3	-3.33787E-6	7.68784E-4	-9.67302E-7	-1.74624E-10	0.00000E+0	0.00000E+0	1.99998E+1	1.81663E+1
7.45620E+0	-6.23038E-3	1.22882E-3	-3.21867E-6	7.48638E-4	-9.67360E-7	-1.74624E-10	0.00000E+0	0.00000E+0	2.00011E+1	1.81687E+1
7.43900E+0	-6.22419E-3	1.22739E-3	-3.09946E-6	7.30876E-4	-9.67419E-7	-2.32832E-10	0.00000E+0	0.00000E+0	2.00015E+1	1.81711E+1
7.42190E+0	-6.21799E-3	1.22548E-3	-3.09946E-6	7.14663E-4	-9.67477E-7	-2.32832E-10	0.00000E+0	0.00000E+0	2.00009E+1	1.81736E+1
7.40470E+0	-6.21131E-3	1.22453E-3	-2.98025E-6	7.00835E-4	-9.67477E-7	-2.91040E-10	0.00000E+0	0.00000E+0	2.00001E+1	1.81760E+1
7.38760E+0	-6.20416E-3	1.22262E-3	-2.74183E-6	6.88914E-4	-9.67535E-7	-2.91040E-10	0.00000E+0	0.00000E+0	2.00004E+1	1.81783E+1
7.37040E+0	-6.19701E-3	1.22119E-3	-2.62262E-6	6.79258E-4	-9.67535E-7	-2.91040E-10	0.00000E+0	0.00000E+0	2.00005E+1	1.81811E+1
7.35330E+0	-6.18938E-3	1.21976E-3	-2.62262E-6	6.71629E-4	-9.67535E-7	-2.91040E-10	0.00000E+0	0.00000E+0	2.00003E+1	1.81834E+1
7.33610E+0	-6.18175E-3	1.21785E-3	-2.50341E-6	6.66384E-4	-9.67535E-7	-2.91040E-10	0.00000E+0	0.00000E+0	1.99999E+1	1.81859E+1
7.31900E+0	-6.17364E-3	1.21642E-3	-2.50341E-6	6.63642E-4	-9.67535E-7	-2.91040E-10	0.00000E+0	0.00000E+0	2.00001E+1	1.81884E+1
7.30180E+0	-6.16553E-3	1.21451E-3	-2.50341E-6	6.62807E-4	-9.67535E-7	-3.49248E-10	0.00000E+0	0.00000E+0	1.99994E+1	1.81907E+1
7.28470E+0	-6.15695E-3	1.21260E-3	-2.38420E-6	6.64476E-4	-9.67535E-7	-3.49248E-10	0.00000E+0	0.00000E+0	1.99993E+1	1.81933E+1
7.26750E+0	-6.14789E-3	1.21117E-3	-2.38420E-6	6.68053E-4	-9.67535E-7	-3.49248E-10	0.00000E+0	0.00000E+0	2.00010E+1	1.81956E+1
7.25040E+0	-6.13835E-3	1.20879E-3	-2.38420E-6	6.74013E-4	-9.67477E-7	-3.49248E-10	0.00000E+0	0.00000E+0	2.00026E+1	1.81980E+1
7.23320E+0	-6.12882E-3	1.20688E-3	-2.26499E-6	6.81881E-4	-9.67477E-7	-3.49248E-10	0.00000E+0	0.00000E+0	2.00024E+1	1.82005E+1
7.21600E+0	-6.11880E-3	1.20497E-3	-2.26499E-6	6.91656E-4	-9.67477E-7	-3.49248E-10	0.00000E+0	0.00000E+0	2.00014E+1	1.82031E+1
7.19890E+0	-6.10831E-3	1.20259E-3	-2.26499E-6	7.03339E-4	-9.67419E-7	-3.49248E-10	0.00000E+0	0.00000E+0	2.00010E+1	1.82056E+1
7.18170E+0	-6.09782E-3	1.20068E-3	-2.38420E-6	7.16690E-4	-9.67360E-7	-3.49248E-10	0.00000E+0	0.00000E+0	2.00013E+1	1.82081E+1
7.16460E+0	-6.08638E-3	1.19878E-3	-2.26499E-6	7.31591E-4	-9.67360E-7	-2.91040E-10	0.00000E+0	0.00000E+0	2.00016E+1	1.82108E+1
7.14740E+0	-6.07541E-3	1.19639E-3	-2.38420E-6	7.47923E-4	-9.67302E-7	-2.91040E-10	0.00000E+0	0.00000E+0	2.00011E+1	1.82135E+1
7.13030E+0	-6.06397E-3	1.19401E-3	-2.38420E-6	7.65327E-4	-9.67302E-7	-2.91040E-10	0.00000E+0	0.00000E+0	2.00001E+1	1.82161E+1
7.11310E+0	-6.05205E-3	1.19115E-3	-2.38420E-6	7.83924E-4	-9.67244E-7	-2.91040E-10	0.00000E+0	0.00000E+0	1.99993E+1	1.82186E+1
