B (T)	X1(V)	Y1 (V)	X2(V)	Y2(V)	X3 (V)	Y3 (V)	X4 (V)	Y4 (V)	SensA (V)	SensB (V)
1.99910E+0	-1.73248E-3	3.34503E-4	9.53682E-7	3.15728E-4	-9.75801E-7	-2.50294E-9	0.00000E+0	0.00000E+0	2.00220E+0	0.00000E+0
1.99510E+0	-1.72687E-3	3.33311E-4	9.53682E-7	3.45351E-4	-9.75801E-7	-2.50294E-9	0.00000E+0	0.00000E+0	1.99870E+0	0.00000E+0
1.99110E+0	-1.71924E-3	3.31881E-4	1.13250E-6	3.78968E-4	-9.75801E-7	-2.50294E-9	0.00000E+0	0.00000E+0	2.00220E+0	0.00000E+0
1.98710E+0	-1.71185E-3	3.30569E-4	1.31131E-6	4.09247E-4	-9.75801E-7	-2.44474E-9	0.00000E+0	0.00000E+0	2.00730E+0	0.00000E+0
1.98310E+0	-1.70351E-3	3.29020E-4	1.49012E-6	4.43282E-4	-9.75801E-7	-2.44474E-9	0.00000E+0	0.00000E+0	2.00360E+0	0.00000E+0
1.97910E+0	-1.69445E-3	3.27231E-4	1.60933E-6	4.79879E-4	-9.75801E-7	-2.44474E-9	0.00000E+0	0.00000E+0	1.99590E+0	0.00000E+0
1.97510E+0	-1.68575E-3	3.25682E-4	1.84775E-6	5.11233E-4	-9.75859E-7	-2.44474E-9	0.00000E+0	0.00000E+0	2.00630E+0	0.00000E+0
1.97110E+0	-1.67764E-3	3.24132E-4	2.02657E-6	5.40916E-4	-9.75859E-7	-2.44474E-9	0.00000E+0	0.00000E+0	2.00200E+0	0.00000E+0
1.96710E+0	-1.66882E-3	3.22463E-4	2.08618E-6	5.70897E-4	-9.75859E-7	-2.44474E-9	0.00000E+0	0.00000E+0	2.00070E+0	0.00000E+0
1.96310E+0	-1.65988E-3	3.20913E-4	2.26499E-6	5.99805E-4	-9.75917E-7	-2.44474E-9	0.00000E+0	0.00000E+0	1.99680E+0	0.00000E+0
1.95910E+0	-1.65046E-3	3.19006E-4	2.38420E-6	6.27700E-4	-9.75975E-7	-2.38653E-9	0.00000E+0	0.00000E+0	2.00050E+0	0.00000E+0
1.95510E+0	-1.64188E-3	3.17337E-4	2.56301E-6	6.52436E-4	-9.75975E-7	-2.38653E-9	0.00000E+0	0.00000E+0	2.00290E+0	0.00000E+0
1.95110E+0	-1.63174E-3	3.15549E-4	2.68222E-6	6.76934E-4	-9.76033E-7	-2.38653E-9	0.00000E+0	0.00000E+0	1.99590E+0	0.00000E+0
1.94710E+0	-1.62292E-3	3.13761E-4	2.74183E-6	6.97557E-4	-9.76033E-7	-2.38653E-9	0.00000E+0	0.00000E+0	2.00020E+0	0.00000E+0
1.94310E+0	-1.61327E-3	3.12092E-4	2.92064E-6	7.15557E-4	-9.76092E-7	-2.38653E-9	0.00000E+0	0.00000E+0	1.99210E+0	0.00000E+0
1.93910E+0	-1.60433E-3	3.10423E-4	2.98025E-6	7.29982E-4	-9.76150E-7	-2.38653E-9	0.00000E+0	0.00000E+0	1.99350E+0	0.00000E+0
1.93510E+0	-1.59717E-3	3.09112E-4	3.09946E-6	7.38803E-4	-9.76208E-7	-2.38653E-9	0.00000E+0	0.00000E+0	1.99900E+0	0.00000E+0
1.93110E+0	-1.59157E-3	3.07800E-4	3.15906E-6	7.43393E-4	-9.76208E-7	-2.38653E-9	0.00000E+0	0.00000E+0	1.99850E+0	0.00000E+0
1.92710E+0	-1.58597E-3	3.06847E-4	3.15906E-6	7.45062E-4	-9.76266E-7	-2.38653E-9	0.00000E+0	0.00000E+0	1.99940E+0	0.00000E+0
1.92310E+0	-1.58191E-3	3.06012E-4	3.21867E-6	7.43810E-4	-9.76266E-7	-2.38653E-9	0.00000E+0	0.00000E+0	2.00210E+0	0.00000E+0
1.91910E+0	-1.57905E-3	3.05535E-4	3.15906E-6	7.39221E-4	-9.76266E-7	-2.38653E-9	0.00000E+0	0.00000E+0	2.00510E+0	0.00000E+0
1.91510E+0	-1.57631E-3	3.05058E-4	3.15906E-6	7.29386E-4	-9.76324E-7	-2.44474E-9	0.00000E+0	0.00000E+0	1.99220E+0	0.00000E+0
