B (T)	X1(V)	Y1 (V)	X2(V)	Y2(V)	X3 (V)	Y3 (V)	X4 (V)	Y4 (V)	SensA (V)	SensB (V)
-1.99910E+0	1.74332E-3	-3.37603E-4	-4.76841E-7	2.46050E-4	-9.75451E-7	-2.21191E-9	0.00000E+0	0.00000E+0	1.99580E+0	0.00000E+0
-1.99520E+0	1.73951E-3	-3.36649E-4	9.53682E-7	2.70369E-4	-9.75451E-7	-2.21191E-9	0.00000E+0	0.00000E+0	1.99810E+0	0.00000E+0
-1.99120E+0	1.73379E-3	-3.35695E-4	1.43052E-6	2.98979E-4	-9.75451E-7	-2.21191E-9	0.00000E+0	0.00000E+0	1.99640E+0	0.00000E+0
-1.98720E+0	1.72711E-3	-3.34742E-4	1.43052E-6	3.25205E-4	-9.75451E-7	-2.21191E-9	0.00000E+0	0.00000E+0	1.99110E+0	0.00000E+0
-1.98320E+0	1.72234E-3	-3.33788E-4	1.90736E-6	3.47616E-4	-9.75451E-7	-2.21191E-9	0.00000E+0	0.00000E+0	2.00010E+0	0.00000E+0
-1.97920E+0	1.71662E-3	-3.32834E-4	1.90736E-6	3.76703E-4	-9.75451E-7	-2.21191E-9	0.00000E+0	0.00000E+0	1.99260E+0	0.00000E+0
-1.97520E+0	1.70995E-3	-3.30927E-4	1.90736E-6	4.07221E-4	-9.75509E-7	-2.15370E-9	0.00000E+0	0.00000E+0	1.99710E+0	0.00000E+0
-1.97120E+0	1.70327E-3	-3.29973E-4	2.38420E-6	4.36308E-4	-9.75509E-7	-2.15370E-9	0.00000E+0	0.00000E+0	1.99880E+0	0.00000E+0
-1.96720E+0	1.69564E-3	-3.28066E-4	2.38420E-6	4.63964E-4	-9.75509E-7	-2.15370E-9	0.00000E+0	0.00000E+0	1.99420E+0	0.00000E+0
-1.96320E+0	1.68992E-3	-3.27112E-4	2.86104E-6	4.86376E-4	-9.75568E-7	-2.15370E-9	0.00000E+0	0.00000E+0	2.00160E+0	0.00000E+0
-1.95920E+0	1.68420E-3	-3.26158E-4	2.86104E-6	5.08312E-4	-9.75626E-7	-2.15370E-9	0.00000E+0	0.00000E+0	2.00560E+0	0.00000E+0
-1.95510E+0	1.67847E-3	-3.24251E-4	2.86104E-6	5.29293E-4	-9.75626E-7	-2.15370E-9	0.00000E+0	0.00000E+0	2.00510E+0	0.00000E+0
-1.95110E+0	1.67180E-3	-3.23297E-4	2.86104E-6	5.50274E-4	-9.75684E-7	-2.15370E-9	0.00000E+0	0.00000E+0	2.00400E+0	0.00000E+0
-1.94710E+0	1.66417E-3	-3.21390E-4	3.33787E-6	5.72208E-4	-9.75742E-7	-2.15370E-9	0.00000E+0	0.00000E+0	1.99760E+0	0.00000E+0
-1.94310E+0	1.65845E-3	-3.20436E-4	3.33787E-6	5.85560E-4	-9.75801E-7	-2.15370E-9	0.00000E+0	0.00000E+0	1.99940E+0	0.00000E+0
-1.93910E+0	1.65177E-3	-3.19483E-4	3.81473E-6	5.98911E-4	-9.75801E-7	-2.15370E-9	0.00000E+0	0.00000E+0	1.99890E+0	0.00000E+0
-1.93510E+0	1.64510E-3	-3.17575E-4	3.81473E-6	6.10355E-4	-9.75859E-7	-2.15370E-9	0.00000E+0	0.00000E+0	1.99380E+0	0.00000E+0
-1.93110E+0	1.63937E-3	-3.17575E-4	3.81473E-6	6.17508E-4	-9.75859E-7	-2.15370E-9	0.00000E+0	0.00000E+0	1.99980E+0	0.00000E+0
-1.92710E+0	1.63365E-3	-3.15668E-4	4.29156E-6	6.21323E-4	-9.75917E-7	-2.15370E-9	0.00000E+0	0.00000E+0	1.99530E+0	0.00000E+0
-1.92310E+0	1.62698E-3	-3.14714E-4	3.81473E-6	6.22276E-4	-9.75975E-7	-2.15370E-9	0.00000E+0	0.00000E+0	1.99880E+0	0.00000E+0
-1.91910E+0	1.62221E-3	-3.13761E-4	3.81473E-6	6.19415E-4	-9.75975E-7	-2.15370E-9	0.00000E+0	0.00000E+0	2.00240E+0	0.00000E+0
