B (T)	X1(V)	Y1 (V)	X2(V)	Y2(V)	X3 (V)	Y3 (V)	X4 (V)	Y4 (V)	SensA (V)	SensB (V)
7.69610E+0	-6.24087E-3	1.22643E-3	0.00000E+0	-5.72208E-6	-9.68699E-7	-4.07455E-10	0.00000E+0	0.00000E+0	1.99740E+0	0.00000E+0
7.67920E+0	-6.24087E-3	1.22643E-3	-4.76840E-6	-5.72208E-6	-9.68874E-7	-4.65665E-10	0.00000E+0	0.00000E+0	2.00100E+0	0.00000E+0
7.66200E+0	-6.24183E-3	1.22643E-3	-4.76840E-6	-5.72208E-6	-9.69048E-7	-5.23873E-10	0.00000E+0	0.00000E+0	2.00290E+0	0.00000E+0
7.64490E+0	-6.24183E-3	1.22739E-3	-4.29156E-6	-5.24524E-6	-9.69223E-7	-5.82080E-10	0.00000E+0	0.00000E+0	2.00110E+0	0.00000E+0
7.62770E+0	-6.24374E-3	1.22739E-3	-3.81473E-6	-4.76840E-6	-9.69398E-7	-5.82080E-10	0.00000E+0	0.00000E+0	2.00140E+0	0.00000E+0
7.61060E+0	-6.24374E-3	1.22739E-3	-3.33787E-6	-4.76840E-6	-9.69572E-7	-6.40288E-10	0.00000E+0	0.00000E+0	2.00470E+0	0.00000E+0
7.59340E+0	-6.24469E-3	1.22739E-3	-3.33787E-6	-4.29156E-6	-9.69747E-7	-6.98495E-10	0.00000E+0	0.00000E+0	1.99800E+0	0.00000E+0
7.57630E+0	-6.24564E-3	1.22739E-3	-3.33787E-6	-4.29156E-6	-9.69863E-7	-7.56703E-10	0.00000E+0	0.00000E+0	1.99710E+0	0.00000E+0
7.55910E+0	-6.24564E-3	1.22739E-3	-2.86104E-6	-3.81473E-6	-9.70038E-7	-8.14911E-10	0.00000E+0	0.00000E+0	1.99680E+0	0.00000E+0
7.54200E+0	-6.24660E-3	1.22739E-3	-2.38420E-6	-3.33787E-6	-9.70213E-7	-8.14911E-10	0.00000E+0	0.00000E+0	1.99630E+0	0.00000E+0
7.52480E+0	-6.24660E-3	1.22739E-3	-2.38420E-6	-3.33787E-6	-9.70329E-7	-8.73118E-10	0.00000E+0	0.00000E+0	2.00850E+0	0.00000E+0
7.50770E+0	-6.24850E-3	1.22739E-3	-2.38420E-6	-3.33787E-6	-9.70445E-7	-9.31330E-10	0.00000E+0	0.00000E+0	2.00310E+0	0.00000E+0
7.49050E+0	-6.24850E-3	1.22739E-3	-2.38420E-6	-2.86104E-6	-9.70620E-7	-9.89537E-10	0.00000E+0	0.00000E+0	2.00210E+0	0.00000E+0
7.47330E+0	-6.24946E-3	1.22834E-3	-1.90736E-6	-2.86104E-6	-9.70736E-7	-9.89537E-10	0.00000E+0	0.00000E+0	1.99890E+0	0.00000E+0
7.45620E+0	-6.25041E-3	1.22739E-3	-1.90736E-6	-2.38420E-6	-9.70911E-7	-1.04775E-9	0.00000E+0	0.00000E+0	1.99850E+0	0.00000E+0
7.43900E+0	-6.25041E-3	1.22739E-3	-1.43052E-6	-2.38420E-6	-9.71027E-7	-1.10595E-9	0.00000E+0	0.00000E+0	1.99850E+0	0.00000E+0
7.42190E+0	-6.25136E-3	1.22834E-3	-1.43052E-6	-2.38420E-6	-9.71144E-7	-1.10595E-9	0.00000E+0	0.00000E+0	1.99560E+0	0.00000E+0
7.40470E+0	-6.25232E-3	1.22739E-3	-1.43052E-6	-2.38420E-6	-9.71260E-7	-1.16416E-9	0.00000E+0	0.00000E+0	1.99760E+0	0.00000E+0
7.38760E+0	-6.25232E-3	1.22739E-3	-1.43052E-6	-1.90736E-6	-9.71377E-7	-1.22237E-9	0.00000E+0	0.00000E+0	2.00080E+0	0.00000E+0
7.37040E+0	-6.25232E-3	1.22739E-3	-1.43052E-6	-1.90736E-6	-9.71435E-7	-1.22237E-9	0.00000E+0	0.00000E+0	1.99970E+0	0.00000E+0
7.35330E+0	-6.25327E-3	1.22643E-3	-1.43052E-6	-1.90736E-6	-9.71551E-7	-1.28058E-9	0.00000E+0	0.00000E+0	1.99570E+0	0.00000E+0
7.33610E+0	-6.25423E-3	1.22643E-3	-1.43052E-6	-1.90736E-6	-9.71610E-7	-1.28058E-9	0.00000E+0	0.00000E+0	1.99520E+0	0.00000E+0
7.31900E+0	-6.25518E-3	1.22643E-3	-9.53682E-7	-1.90736E-6	-9.71726E-7	-1.33878E-9	0.00000E+0	0.00000E+0	2.00140E+0	0.00000E+0
7.30180E+0	-6.25518E-3	1.22643E-3	-9.53682E-7	-1.43052E-6	-9.71784E-7	-1.33878E-9	0.00000E+0	0.00000E+0	1.99450E+0	0.00000E+0
7.28470E+0	-6.25518E-3	1.22643E-3	-9.53682E-7	-1.43052E-6	-9.71901E-7	-1.33878E-9	0.00000E+0	0.00000E+0	1.99490E+0	0.00000E+0
7.26750E+0	-6.25613E-3	1.22643E-3	-9.53682E-7	-1.43052E-6	-9.71959E-7	-1.39699E-9	0.00000E+0	0.00000E+0	2.00040E+0	0.00000E+0
7.25040E+0	-6.25709E-3	1.22643E-3	-9.53682E-7	-1.43052E-6	-9.72017E-7	-1.45520E-9	0.00000E+0	0.00000E+0	2.00110E+0	0.00000E+0
7.23320E+0	-6.25709E-3	1.22548E-3	-4.76841E-7	-1.43052E-6	-9.72075E-7	-1.45520E-9	0.00000E+0	0.00000E+0	1.99920E+0	0.00000E+0
7.21600E+0	-6.25804E-3	1.22548E-3	-4.76841E-7	-1.43052E-6	-9.72133E-7	-1.45520E-9	0.00000E+0	0.00000E+0	1.99990E+0	0.00000E+0
7.19890E+0	-6.25804E-3	1.22453E-3	-4.76841E-7	-1.43052E-6	-9.72192E-7	-1.51341E-9	0.00000E+0	0.00000E+0	2.00420E+0	0.00000E+0
7.18170E+0	-6.25899E-3	1.22453E-3	-4.76841E-7	-1.43052E-6	-9.72192E-7	-1.51341E-9	0.00000E+0	0.00000E+0	2.00130E+0	0.00000E+0
7.16460E+0	-6.25899E-3	1.22453E-3	-4.76841E-7	-1.43052E-6	-9.72308E-7	-1.51341E-9	0.00000E+0	0.00000E+0	1.99670E+0	0.00000E+0
7.14740E+0	-6.25899E-3	1.22453E-3	-4.76841E-7	-1.43052E-6	-9.72308E-7	-1.57161E-9	0.00000E+0	0.00000E+0	1.99220E+0	0.00000E+0
7.13030E+0	-6.25995E-3	1.22357E-3	-4.76841E-7	-1.43052E-6	-9.72366E-7	-1.57161E-9	0.00000E+0	0.00000E+0	1.98750E+0	0.00000E+0
7.11310E+0	-6.26090E-3	1.22357E-3	-4.76841E-7	-1.43052E-6	-9.72424E-7	-1.57161E-9	0.00000E+0	0.00000E+0	1.99790E+0	0.00000E+0
7.09600E+0	-6.26090E-3	1.22357E-3	-4.76841E-7	-1.43052E-6	-9.72424E-7	-1.57161E-9	0.00000E+0	0.00000E+0	2.00140E+0	0.00000E+0
7.07880E+0	-6.26186E-3	1.22262E-3	0.00000E+0	-1.43052E-6	-9.72424E-7	-1.57161E-9	0.00000E+0	0.00000E+0	1.98960E+0	0.00000E+0
7.06170E+0	-6.26186E-3	1.22166E-3	0.00000E+0	-1.43052E-6	-9.72483E-7	-1.62982E-9	0.00000E+0	0.00000E+0	1.99330E+0	0.00000E+0
7.04450E+0	-6.26186E-3	1.22166E-3	0.00000E+0	-1.43052E-6	-9.72541E-7	-1.62982E-9	0.00000E+0	0.00000E+0	1.99500E+0	0.00000E+0
7.02740E+0	-6.26281E-3	1.22166E-3	0.00000E+0	-1.43052E-6	-9.72541E-7	-1.62982E-9	0.00000E+0	0.00000E+0	2.00090E+0	0.00000E+0
7.01020E+0	-6.26281E-3	1.22166E-3	0.00000E+0	-9.53682E-7	-9.72599E-7	-1.62982E-9	0.00000E+0	0.00000E+0	2.00050E+0	0.00000E+0
6.99300E+0	-6.26281E-3	1.22071E-3	0.00000E+0	-9.53682E-7	-9.72599E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99810E+0	0.00000E+0
6.97590E+0	-6.26376E-3	1.22071E-3	0.00000E+0	-9.53682E-7	-9.72599E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00110E+0	0.00000E+0
6.95870E+0	-6.26376E-3	1.21976E-3	0.00000E+0	-4.76841E-7	-9.72599E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00140E+0	0.00000E+0
6.94160E+0	-6.26376E-3	1.21976E-3	0.00000E+0	0.00000E+0	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00250E+0	0.00000E+0
6.92440E+0	-6.26376E-3	1.21976E-3	0.00000E+0	0.00000E+0	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00220E+0	0.00000E+0
6.90730E+0	-6.26472E-3	1.21976E-3	0.00000E+0	9.53682E-7	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99580E+0	0.00000E+0
6.89010E+0	-6.26376E-3	1.21976E-3	0.00000E+0	1.43052E-6	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00140E+0	0.00000E+0
6.87300E+0	-6.26376E-3	1.21880E-3	0.00000E+0	1.90736E-6	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99350E+0	0.00000E+0
6.85580E+0	-6.26472E-3	1.21880E-3	0.00000E+0	2.86104E-6	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99490E+0	0.00000E+0
6.83870E+0	-6.26376E-3	1.21880E-3	0.00000E+0	4.29156E-6	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99600E+0	0.00000E+0
6.82150E+0	-6.26376E-3	1.21785E-3	0.00000E+0	5.24524E-6	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99080E+0	0.00000E+0
6.80440E+0	-6.26376E-3	1.21785E-3	0.00000E+0	7.62945E-6	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99440E+0	0.00000E+0
6.78720E+0	-6.26376E-3	1.21785E-3	4.76841E-7	9.53680E-6	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00100E+0	0.00000E+0
6.77010E+0	-6.26376E-3	1.21785E-3	4.76841E-7	1.14442E-5	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99660E+0	0.00000E+0
6.75290E+0	-6.26376E-3	1.21785E-3	4.76841E-7	1.38283E-5	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99830E+0	0.00000E+0
6.73570E+0	-6.26281E-3	1.21690E-3	4.76841E-7	1.62126E-5	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99640E+0	0.00000E+0
6.71860E+0	-6.26186E-3	1.21690E-3	4.76841E-7	1.95504E-5	-9.72657E-7	-1.74624E-9	0.00000E+0	0.00000E+0	1.99890E+0	0.00000E+0
6.70140E+0	-6.26186E-3	1.21690E-3	4.76841E-7	2.24115E-5	-9.72657E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00410E+0	0.00000E+0
6.68430E+0	-6.26186E-3	1.21594E-3	4.76841E-7	2.62262E-5	-9.72657E-7	-1.74624E-9	0.00000E+0	0.00000E+0	2.00250E+0	0.00000E+0
6.66710E+0	-6.25995E-3	1.21690E-3	4.76841E-7	3.05178E-5	-9.72599E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00090E+0	0.00000E+0
6.65000E+0	-6.25899E-3	1.21594E-3	4.76841E-7	3.48093E-5	-9.72599E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99940E+0	0.00000E+0
6.63280E+0	-6.25899E-3	1.21594E-3	4.76841E-7	3.86240E-5	-9.72599E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99900E+0	0.00000E+0
6.61570E+0	-6.25709E-3	1.21499E-3	4.76841E-7	4.38693E-5	-9.72541E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99870E+0	0.00000E+0
6.59850E+0	-6.25709E-3	1.21499E-3	4.76841E-7	4.91145E-5	-9.72541E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99660E+0	0.00000E+0
6.58140E+0	-6.25518E-3	1.21499E-3	4.76841E-7	5.53133E-5	-9.72483E-7	-1.68803E-9	0.00000E+0	0.00000E+0	1.99880E+0	0.00000E+0
6.56420E+0	-6.25327E-3	1.21499E-3	4.76841E-7	6.24661E-5	-9.72424E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00280E+0	0.00000E+0
6.54710E+0	-6.25136E-3	1.21499E-3	4.76841E-7	7.05724E-5	-9.72424E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00500E+0	0.00000E+0
6.52990E+0	-6.24946E-3	1.21403E-3	4.76841E-7	7.82018E-5	-9.72366E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00680E+0	0.00000E+0
6.51280E+0	-6.24850E-3	1.21403E-3	4.76841E-7	8.48775E-5	-9.72366E-7	-1.68803E-9	0.00000E+0	0.00000E+0	2.00310E+0	0.00000E+0
6.49560E+0	-6.24755E-3	1.21403E-3	4.76841E-7	9.25069E-5	-9.72308E-7	-1.62982E-9	0.00000E+0	0.00000E+0	1.99810E+0	0.00000E+0
6.47840E+0	-6.24469E-3	1.21308E-3	4.76841E-7	1.01567E-4	-9.72192E-7	-1.62982E-9	0.00000E+0	0.00000E+0	1.99950E+0	0.00000E+0
6.46130E+0	-6.24278E-3	1.21308E-3	4.76841E-7	1.11104E-4	-9.72192E-7	-1.57161E-9	0.00000E+0	0.00000E+0	1.99990E+0	0.00000E+0
6.44410E+0	-6.23992E-3	1.21308E-3	4.76841E-7	1.21117E-4	-9.72133E-7	-1.57161E-9	0.00000E+0	0.00000E+0	2.00290E+0	0.00000E+0
6.42700E+0	-6.23706E-3	1.21213E-3	4.76841E-7	1.31608E-4	-9.72075E-7	-1.57161E-9	0.00000E+0	0.00000E+0	1.99810E+0	0.00000E+0
6.40980E+0	-6.23515E-3	1.21117E-3	4.76841E-7	1.42575E-4	-9.71959E-7	-1.57161E-9	0.00000E+0	0.00000E+0	1.99570E+0	0.00000E+0
6.39270E+0	-6.23134E-3	1.21117E-3	9.53682E-7	1.52589E-4	-9.71901E-7	-1.51341E-9	0.00000E+0	0.00000E+0	1.99080E+0	0.00000E+0
6.37550E+0	-6.22848E-3	1.21117E-3	4.76841E-7	1.63079E-4	-9.71842E-7	-1.51341E-9	0.00000E+0	0.00000E+0	1.99200E+0	0.00000E+0
6.35840E+0	-6.22562E-3	1.21022E-3	9.53682E-7	1.75477E-4	-9.71784E-7	-1.51341E-9	0.00000E+0	0.00000E+0	2.00210E+0	0.00000E+0
6.34120E+0	-6.22085E-3	1.20927E-3	9.53682E-7	1.89782E-4	-9.71726E-7	-1.51341E-9	0.00000E+0	0.00000E+0	2.00490E+0	0.00000E+0
6.32410E+0	-6.21608E-3	1.20831E-3	9.53682E-7	2.03134E-4	-9.71610E-7	-1.45520E-9	0.00000E+0	0.00000E+0	1.99790E+0	0.00000E+0
6.30690E+0	-6.21131E-3	1.20831E-3	9.53682E-7	2.16962E-4	-9.71551E-7	-1.45520E-9	0.00000E+0	0.00000E+0	1.99580E+0	0.00000E+0
6.28980E+0	-6.20559E-3	1.20736E-3	9.53682E-7	2.32221E-4	-9.71435E-7	-1.45520E-9	0.00000E+0	0.00000E+0	1.99830E+0	0.00000E+0
6.27260E+0	-6.19987E-3	1.20641E-3	9.53682E-7	2.48911E-4	-9.71377E-7	-1.39699E-9	0.00000E+0	0.00000E+0	1.99760E+0	0.00000E+0
6.25550E+0	-6.19414E-3	1.20450E-3	9.53682E-7	2.65123E-4	-9.71260E-7	-1.39699E-9	0.00000E+0	0.00000E+0	1.99460E+0	0.00000E+0
6.23830E+0	-6.18747E-3	1.20354E-3	9.53682E-7	2.82289E-4	-9.71202E-7	-1.33878E-9	0.00000E+0	0.00000E+0	1.99890E+0	0.00000E+0
6.22110E+0	-6.17984E-3	1.20259E-3	9.53682E-7	2.99932E-4	-9.71086E-7	-1.33878E-9	0.00000E+0	0.00000E+0	2.00640E+0	0.00000E+0
6.20400E+0	-6.17316E-3	1.20164E-3	9.53682E-7	3.17575E-4	-9.70969E-7	-1.33878E-9	0.00000E+0	0.00000E+0	2.00400E+0	0.00000E+0
6.18680E+0	-6.16553E-3	1.19973E-3	9.53682E-7	3.35695E-4	-9.70853E-7	-1.28058E-9	0.00000E+0	0.00000E+0	1.99780E+0	0.00000E+0
6.16970E+0	-6.15600E-3	1.19782E-3	9.53682E-7	3.54292E-4	-9.70795E-7	-1.22237E-9	0.00000E+0	0.00000E+0	1.99830E+0	0.00000E+0
6.15250E+0	-6.14646E-3	1.19687E-3	9.53682E-7	3.72412E-4	-9.70678E-7	-1.22237E-9	0.00000E+0	0.00000E+0	1.99770E+0	0.00000E+0
6.13540E+0	-6.13788E-3	1.19496E-3	9.53682E-7	3.91008E-4	-9.70562E-7	-1.22237E-9	0.00000E+0	0.00000E+0	2.00170E+0	0.00000E+0
