C1	C4	C2	C3
-4.8	-0.2083333333333	-1	-6
-3.63	-0.2754820936639	-2	-8
-2.91	-0.3436426116838	-3	-10
-2.42	-0.4132231404959	-4	-12
-2.05	-0.4878048780488	-5	-14
-1.82	-0.5494505494505	-6	-16
-1.61	-0.6211180124224	-7	-18
-1.45	-0.6896551724138	-8	-20
-1.32	-0.7575757575758	-9	-22
-1.2	-0.8333333333333	-10	-24
-1.11	-0.9009009009009	-11	-26
-1.04	-0.9615384615385	-12	-28
-0.97	-1.030927835052	-13	-30
-0.91	-1.098901098901	-14	-32
-0.85	-1.176470588235	-15	-34
-0.8	-1.25	-16	-36
-0.76	-1.315789473684	-17	-38
-0.72	-1.388888888889	-18	-40
-0.7	-1.428571428571	-19	-42
-0.66	-1.515151515152	-20	-44
-0.62	-1.612903225806	-21	-46
0.62	1.612903225806	21	46
0.66	1.515151515152	20	44
0.68	1.470588235294	19	42
0.72	1.388888888889	18	40
0.76	1.315789473684	17	38
0.8	1.25	16	36
0.85	1.176470588235	15	34
0.91	1.098901098901	14	32
0.97	1.030927835052	13	30
1.04	0.9615384615385	12	28
1.12	0.8928571428571	11	26
1.21	0.8264462809917	10	24
1.32	0.7575757575758	9	22
1.45	0.6896551724138	8	20
1.61	0.6211180124224	7	18
1.82	0.5494505494505	6	16
2.1	0.4761904761905	5	14
2.42	0.4132231404959	4	12
2.9	0.3448275862069	3	10
3.63	0.2754820936639	2	8
4.83	0.2070393374741	1	6
			
			
			
			
			
			
			
			
			
			
