B (T)	X1(V)	Y1 (V)	X2(V)	Y2(V)	X3 (V)	Y3 (V)	X4 (V)	Y4 (V)	SensA (V)	SensB (V)
0.00000E+0	-4.85376E-3	9.49863E-4	7.15259E-7	1.81211E-3	-9.65614E-7	2.32832E-10	0.00000E+0	0.00000E+0	1.99800E+0	0.00000E+0
0.00000E+0	-4.82515E-3	9.43664E-4	-3.57629E-6	1.83678E-3	-9.65672E-7	2.32832E-10	0.00000E+0	0.00000E+0	1.99960E+0	0.00000E+0
7.69630E+0	-4.77174E-3	9.33174E-4	-3.57629E-6	1.86706E-3	-9.65731E-7	2.91040E-10	0.00000E+0	0.00000E+0	1.99990E+0	0.00000E+0
7.67920E+0	-4.71881E-3	9.22684E-4	-3.93394E-6	1.89234E-3	-9.65847E-7	2.91040E-10	0.00000E+0	0.00000E+0	1.99770E+0	0.00000E+0
7.66200E+0	-4.67065E-3	9.13147E-4	-3.93394E-6	1.91320E-3	-9.65963E-7	2.91040E-10	0.00000E+0	0.00000E+0	1.99750E+0	0.00000E+0
7.64490E+0	-4.61820E-3	9.03133E-4	-4.29156E-6	1.93001E-3	-9.66080E-7	2.91040E-10	0.00000E+0	0.00000E+0	1.99930E+0	0.00000E+0
7.62770E+0	-4.57385E-3	8.94550E-4	-4.29156E-6	1.94157E-3	-9.66196E-7	2.91040E-10	0.00000E+0	0.00000E+0	1.99960E+0	0.00000E+0
7.61060E+0	-4.53380E-3	8.86444E-4	-4.52998E-6	1.94860E-3	-9.66313E-7	2.91040E-10	0.00000E+0	0.00000E+0	1.99960E+0	0.00000E+0
7.59340E+0	-4.49279E-3	8.77861E-4	-4.52998E-6	1.94944E-3	-9.66429E-7	2.32832E-10	0.00000E+0	0.00000E+0	2.00010E+0	0.00000E+0
7.57630E+0	-4.44749E-3	8.68801E-4	-4.64919E-6	1.93918E-3	-9.66604E-7	2.32832E-10	0.00000E+0	0.00000E+0	1.99870E+0	0.00000E+0
7.55910E+0	-4.40267E-3	8.59741E-4	-4.64919E-6	1.92321E-3	-9.66778E-7	2.32832E-10	0.00000E+0	0.00000E+0	1.99890E+0	0.00000E+0
7.54200E+0	-4.36977E-3	8.53542E-4	-4.76840E-6	1.90116E-3	-9.66953E-7	2.32832E-10	0.00000E+0	0.00000E+0	1.99950E+0	0.00000E+0
7.52480E+0	-4.33162E-3	8.45913E-4	-4.76840E-6	1.86015E-3	-9.67128E-7	1.74624E-10	0.00000E+0	0.00000E+0	2.00200E+0	0.00000E+0
7.50770E+0	-4.29919E-3	8.39237E-4	-4.88761E-6	1.81652E-3	-9.67302E-7	1.16416E-10	0.00000E+0	0.00000E+0	1.99950E+0	0.00000E+0
7.49050E+0	-4.27249E-3	8.33992E-4	-4.88761E-6	1.76156E-3	-9.67535E-7	5.82081E-11	0.00000E+0	0.00000E+0	1.99660E+0	0.00000E+0
7.47330E+0	-4.25103E-3	8.30177E-4	-4.88761E-6	1.71245E-3	-9.67710E-7	5.82081E-11	0.00000E+0	0.00000E+0	1.99880E+0	0.00000E+0
7.45620E+0	-4.23673E-3	8.26839E-4	-4.88761E-6	1.66679E-3	-9.67826E-7	5.82081E-11	0.00000E+0	0.00000E+0	1.99920E+0	0.00000E+0
7.43900E+0	-4.22147E-3	8.23501E-4	-4.76840E-6	1.60075E-3	-9.68001E-7	0.00000E+0	0.00000E+0	0.00000E+0	2.00100E+0	0.00000E+0
7.42190E+0	-4.20716E-3	8.21117E-4	-4.76840E-6	1.52219E-3	-9.68234E-7	-5.82081E-11	0.00000E+0	0.00000E+0	1.99970E+0	0.00000E+0
7.40470E+0	-4.19620E-3	8.18733E-4	-4.76840E-6	1.44399E-3	-9.68408E-7	-1.16416E-10	0.00000E+0	0.00000E+0	1.99870E+0	0.00000E+0
7.38760E+0	-4.18714E-3	8.16826E-4	-4.64919E-6	1.35434E-3	-9.68583E-7	-1.74624E-10	0.00000E+0	0.00000E+0	2.00020E+0	0.00000E+0
7.37040E+0	-4.18046E-3	8.15395E-4	-4.64919E-6	1.25945E-3	-9.68816E-7	-2.32832E-10	0.00000E+0	0.00000E+0	1.99820E+0	0.00000E+0
7.35330E+0	-4.17522E-3	8.14442E-4	-4.41077E-6	1.16766E-3	-9.68990E-7	-2.91040E-10	0.00000E+0	0.00000E+0	1.99910E+0	0.00000E+0
7.33610E+0	-4.17188E-3	8.13488E-4	-4.29156E-6	1.07563E-3	-9.69165E-7	-3.49248E-10	0.00000E+0	0.00000E+0	1.99960E+0	0.00000E+0
7.31900E+0	-4.16949E-3	8.13011E-4	-4.05314E-6	9.81458E-4	-9.69398E-7	-4.07455E-10	0.00000E+0	0.00000E+0	1.99980E+0	0.00000E+0
