B (T)	X1(V)	Y1 (V)	X2(V)	Y2(V)	X3 (V)	Y3 (V)	X4 (V)	Y4 (V)	SensA (V)	SensB (V)
0.00000E+0	6.22085E-3	-1.23263E-3	2.26499E-6	4.50613E-5	-9.67768E-7	5.23873E-10	0.00000E+0	0.00000E+0	1.99100E+0	0.00000E+0
0.00000E+0	6.22132E-3	-1.23168E-3	2.38420E-7	2.98024E-5	-9.68001E-7	4.65665E-10	0.00000E+0	0.00000E+0	1.99270E+0	0.00000E+0
-7.69630E+0	6.22275E-3	-1.23120E-3	7.15259E-7	1.76431E-5	-9.68234E-7	3.49248E-10	0.00000E+0	0.00000E+0	1.99390E+0	0.00000E+0
-7.67920E+0	6.22419E-3	-1.23072E-3	1.43052E-6	1.07289E-5	-9.68408E-7	3.49248E-10	0.00000E+0	0.00000E+0	1.99220E+0	0.00000E+0
-7.66200E+0	6.22609E-3	-1.23025E-3	2.14578E-6	6.55654E-6	-9.68583E-7	2.91040E-10	0.00000E+0	0.00000E+0	1.99230E+0	0.00000E+0
-7.64490E+0	6.22752E-3	-1.22929E-3	2.74183E-6	5.00682E-6	-9.68699E-7	2.32832E-10	0.00000E+0	0.00000E+0	1.99510E+0	0.00000E+0
-7.62770E+0	6.22943E-3	-1.22929E-3	3.45708E-6	4.64919E-6	-9.68874E-7	1.74624E-10	0.00000E+0	0.00000E+0	1.99270E+0	0.00000E+0
-7.61060E+0	6.23086E-3	-1.22834E-3	4.05314E-6	4.64919E-6	-9.69048E-7	1.16416E-10	0.00000E+0	0.00000E+0	1.99270E+0	0.00000E+0
-7.59340E+0	6.23277E-3	-1.22834E-3	4.76840E-6	5.00682E-6	-9.69223E-7	1.16416E-10	0.00000E+0	0.00000E+0	1.99510E+0	0.00000E+0
-7.57630E+0	6.23420E-3	-1.22739E-3	5.36445E-6	5.36445E-6	-9.69339E-7	5.82081E-11	0.00000E+0	0.00000E+0	1.99450E+0	0.00000E+0
-7.55910E+0	6.23563E-3	-1.22691E-3	6.07970E-6	5.72208E-6	-9.69456E-7	0.00000E+0	0.00000E+0	0.00000E+0	1.99510E+0	0.00000E+0
-7.54200E+0	6.23706E-3	-1.22596E-3	6.67575E-6	6.19891E-6	-9.69630E-7	0.00000E+0	0.00000E+0	0.00000E+0	1.99480E+0	0.00000E+0
