1	cos	B-1	1/B-1	1/B-1-norm	B-2	1/B-2	1/B-2-norm
290	0.2923717047227	6.993	0.1430001430001	0.3451308451307	6.1354	0.1629885582032	0.3374678097597
300	0.4539904997395	5.2708	0.189724519997	0.4579001290128	4.5675	0.2189381499726	0.4533114395182
310	0.601815023152	4.0257	0.2484040042725	0.5995230643117	3.4425	0.2904865649964	0.601452432825
320	0.7313537016192	3.3153	0.3016318281905	0.7279884173378	2.8352	0.3527088036117	0.730283577878
330	0.8386705679454	2.911	0.3435245620062	0.829096530402	2.4821	0.4028846541235	0.8341726763627
340	0.9205048534524	2.6291	0.3803582975163	0.9179947510556	2.2346	0.4475073838718	0.9265640383065
350	0.9743700647852	2.465	0.4056795131846	0.979107505071	2.1219	0.4712757434375	0.9757764267873
360	0.9986295347546	2.424	0.4125412541254	0.9956683168317	2.0809	0.4805612955933	0.9950021625259
370	0.9925461516413	2.4135	0.4143360265175	1	2.0705	0.482975126781	1
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
